\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2010/10/26,25-300,MIA,@,BOS,L (-8),1,42:39:00,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,31,16,+1\
2,2,2010/10/27,25-301,MIA,@,PHI,W (+10),1,37:33:00,5,12,0.417,0,2,0,6,6,1,0,6,6,7,2,1,9,1,16,9.6,+6\
3,3,2010/10/29,25-303,MIA,,ORL,W (+26),1,30:02:00,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,15,10,+13\
4,4,2010/10/31,25-305,MIA,@,NJN,W (+23),1,28:57:00,5,12,0.417,0,4,0,10,12,0.833,0,7,7,7,2,0,5,3,20,15.6,+18\
5,5,2010/11/2,25-307,MIA,,MIN,W (+32),1,32:26:00,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,0,20,23.7,+32\
6,6,2010/11/5,25-310,MIA,@,NOH,L (-3),1,41:12:00,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,20,20.6,-6\
7,7,2010/11/6,25-311,MIA,,NJN,W (+12),1,33:35:00,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,23,19.4,+11\
8,8,2010/11/9,25-314,MIA,,UTA,L (-2),1,46:44:00,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,3,20,22.8,+4\
9,9,2010/11/11,25-316,MIA,,BOS,L (-5),1,44:28:00,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,3,35,29,0\
10,10,2010/11/13,25-318,MIA,,TOR,W (+9),1,39:20:00,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,0,23,17.6,+11\
11,11,2010/11/17,25-322,MIA,,PHO,W (+27),1,23:03,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,5,20,20.6,+24\
12,12,2010/11/19,25-324,MIA,,CHA,W (+8),1,39:29:00,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,1,32,20.6,+4\
13,13,2010/11/20,25-325,MIA,@,MEM,L (-2),1,42:06:00,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,2,29,21.7,-1\
14,14,2010/11/22,25-327,MIA,,IND,L (-16),1,41:34:00,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,3,25,15.5,-1\
15,15,2010/11/24,25-329,MIA,@,ORL,L (-9),1,40:44:00,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,3,25,17,-15\
16,16,2010/11/26,25-331,MIA,,PHI,W (+9),1,40:34:00,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,1,20,18,+11\
17,17,2010/11/27,25-332,MIA,@,DAL,L (-11),1,36:04:00,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,3,23,11.7,-14\
18,18,2010/11/29,25-334,MIA,,WAS,W (+11),1,38:11:00,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,3,30,19.8,+3\
19,19,2010/12/1,25-336,MIA,,DET,W (+25),1,31:14:00,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,0,18,12,+17\
20,20,2010/12/2,25-337,MIA,@,CLE,W (+28),1,30:02:00,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,1,38,33.7,+26\
21,21,2010/12/4,25-339,MIA,,ATL,W (+12),1,37:19:00,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,1,22,19.7,+7\
22,22,2010/12/6,25-341,MIA,@,MIL,W (+10),1,38:41:00,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,5,17,12.5,+17\
23,23,2010/12/8,25-343,MIA,@,UTA,W (+13),1,39:26:00,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,4,33,28.6,0\
24,24,2010/12/10,25-345,MIA,@,GSW,W (+22),1,30:43:00,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,1,25,21.7,+22\
25,25,2010/12/11,25-346,MIA,@,SAC,W (+21),1,35:11:00,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,1,25,19,+15\
26,26,2010/12/13,25-348,MIA,,NOH,W (+12),1,40:18:00,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,2,20,11.1,+11\
27,27,2010/12/15,25-350,MIA,,CLE,W (+6),1,38:31:00,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,1,21,14.5,0\
28,28,2010/12/17,25-352,MIA,@,NYK,W (+22),1,38:13:00,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,1,32,27,+31\
29,29,2010/12/18,25-353,MIA,@,WAS,W (+1),1,40:31:00,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,3,32,24.4,+6\
